AFA,1742191.9999993232,0.060022799259539
API,1965495.9999988666,0.06771617126780784
CAU,11226174.000003843,0.3867693046777556
HIS,2714929.999999926,0.0935360157742425
NAM,228005.99999998885,0.007855367472686763
VIET,155730.00000000783,0.005365281512423493
AAFA,1309716.0000002554,0.04512293740015581
NAMER,5671520.000004059,0.19539781290284683
MENAFC,295835.9999999767,0.010192277798170628
NCHI,343750.00000000093,0.011843032940958634
AMIND,101636.00000002378,0.0035016101701456004
AINDI,628064.000000028,0.021638349501179797
KORI,240927.99999999223,0.00830056215388853
SCAHIS,514317.99999992555,0.017719520046915096
CARB,117229.9999999747,0.004038861823034989
FILII,173430.00000000084,0.005975090044946793
MSWHIS,913954.0000000548,0.03148796313751717
AFB,110247.99999998984,0.0037983147510536252
CARHIS,344454.00000002986,0.011867287472422714
AISC,20116.00000000377,0.0006930456745901611
JAPI,69709.99999999956,0.002401680949277728
HAWI,39742.00000000111,0.0013692096440424434
CARIBI,73684.00000000445,0.002538595023190244
ALANAM,9573.99999999993,0.0003298478469141435
SCAMB,15066.00000000047,0.0005190607542937828
