AAFA,1042351.9183940855,0.04476850716467769
AFB,78177.97957299616,0.0033577061421116716
AINDI,491451.974615991,0.021107622923156343
AISC,14699.998056000197,0.0006313577561258768
ALANAM,3520.0000380000647,0.000151182287037623
AMIND,86353.99047199918,0.0037088618276832253
CARB,89307.98095399127,0.0038357342799939563
CARHIS,288087.973717003,0.012373238143291844
CARIBI,47685.996671000015,0.0020480903291371293
HAWI,32503.996835999744,0.0013960308313866027
FILII,128181.99185299793,0.005505354112548402
KORI,192527.99139801788,0.008268983450025639
JAPI,60521.99586900062,0.0025993902422670706
MSWHIS,661515.9491610005,0.02841178779158359
MENAFC,196729.98043600895,0.008449456832415556
NAMER,3515603.9498131378,0.15099347719133213
NCHI,275961.9814829874,0.01185243268342017
SCAHIS,382199.9546450112,0.01641530188213808
SCAMB,12259.996450000901,0.0005265608756746954
SCSEAI,75271.99022200286,0.0032328953149959538
VIET,116027.99387299773,0.004983345819528307
AFA,1373929.8917450216,0.05900961960823772
API,1534501.9252861731,0.06590611023408037
CAU,10522833.84386757,0.451950587914389
HIS,1931659.9016882495,0.08296385186462155
NAM,129279.98767199801,0.005552512498139924
